video_name,start_frame,end_frame,start_x,start_y,end_x,end_y
2022_05_31_tauh_34_meteors.mp4,0102,0108, 634,467, 646,494
2022_05_31_tauh_34_meteors.mp4,0110,0125, 573,428, 614,516
2022_05_31_tauh_34_meteors.mp4,0111,0119, 469,108, 491,156
2022_05_31_tauh_34_meteors.mp4,0121,0123,1043,225,1053,234
2022_05_31_tauh_34_meteors.mp4,0127,0129, 796,540, 802,553
2022_05_31_tauh_34_meteors.mp4,0129,0131, 794,538, 800,547
2022_05_31_tauh_34_meteors.mp4,0133,0142, 400,410, 420,467
2022_05_31_tauh_34_meteors.mp4,0134,0143, 550,397, 574,454
2022_05_31_tauh_34_meteors.mp4,0134,0137, 572,536, 577,552
2022_05_31_tauh_34_meteors.mp4,0135,0138, 706,530, 714,547
2022_05_31_tauh_34_meteors.mp4,0137,0146, 549,417, 575,470
2022_05_31_tauh_34_meteors.mp4,0139,0142, 712,558, 720,576
2022_05_31_tauh_34_meteors.mp4,0140,0150, 560,544, 586,604
2022_05_31_tauh_34_meteors.mp4,0146,0149, 806,543, 813,557
2022_05_31_tauh_34_meteors.mp4,0156,0158, 337,304, 341,316
2022_05_31_tauh_34_meteors.mp4,0156, 165, 606,356, 634,414
2022_05_31_tauh_34_meteors.mp4,0157, 162, 456,505, 465,535
2022_05_31_tauh_34_meteors.mp4,0160,0163, 690,591, 699,608
2022_05_31_tauh_34_meteors.mp4,0164,0167, 577,547, 584,563
2022_05_31_tauh_34_meteors.mp4,0167,0169, 971,532, 978,544
2022_05_31_tauh_34_meteors.mp4,0171,0175, 739,359, 754,384
2022_05_31_tauh_34_meteors.mp4,0174, 180, 592,434, 608,467
2022_05_31_tauh_34_meteors.mp4,0178, 185, 753,559, 777,603
2022_05_31_tauh_34_meteors.mp4,0179,0189, 840,540, 877,600
2022_05_31_tauh_34_meteors.mp4,0179,0181, 951,521, 957,532
2022_05_31_tauh_34_meteors.mp4,0180,0184, 797,460, 811,482
2022_05_31_tauh_34_meteors.mp4,0183,0189,1081, 24,1121, 60
2022_05_31_tauh_34_meteors.mp4,0194,0197,1024,490,1036,506
2022_05_31_tauh_34_meteors.mp4,0197, 200,1472,125,1496,145
2022_05_31_tauh_34_meteors.mp4,0199, 203, 877,378, 893,402
2022_05_31_tauh_34_meteors.mp4,0200,0205, 763,541, 777,565
2022_05_31_tauh_34_meteors.mp4,0223,0229, 955,497, 981,535
2022_05_31_tauh_34_meteors.mp4,0224,0228,1129,419,1148,438
2022_05_31_tauh_34_meteors.mp4,0249,0252,1199,585,1213,601
