video_name,start_frame,end_frame,start_x,start_y,end_x,end_y
Draconids-12mm1.01-1950-163100.avi,21,38,439,45,264,260
Draconids-12mm1.02-1500-163500.avi,37,46,33,95,18,139
Draconids-12mm1.09-800-164900.avi,23,30,307,175,319,216
Draconids-12mm1.11-150-165300.avi,3,18,266,149,271,224
Draconids-12mm1.13-1350-165800.avi,31,39,511,281,527,325
Draconids-12mm1.15-650-170200.avi,13,35,292,316,321,415
Draconids-12mm1.16-250-170400.avi,32,37,471,163,478,200
Draconids-12mm1.20-650-171300.avi,12,18,521,268,531,298
Draconids-12mm1.26-3100-172700.avi,16,24,190,381,201,418
Draconids-12mm1.27-2800-173000.avi,9,21,162,208,133,270
Draconids-12mm1.28-350-173100.avi,15,25,270,254,284,300
Draconids-12mm1.30-1700-173600.avi,5,27,572,400,595,468
Draconids-12mm1.33-2350-174300.avi,7,18,343,10,398,59
Draconids-12mm2.00.01-3000-201200.avi,58,65,190,160,211,98
Draconids-12mm2.00.01-3100-201200.avi,20,29,203,217,219,261
Draconids-12mm2.00.02-1550-201300.avi,17,41,26,350,52,460
Draconids-12mm2.00.03-550-201500.avi ,44,55,176,346,197,400
Draconids-12mm2.00.03-2000-201600.avi,22,27,264,313,278,342
Draconids-12mm2.00.04-750-201800.avi ,39,48,582,99,625,144
Draconids-12mm2.00.28-2400-211200.avi,11,24,600,313,592,397
Draconids-12mm2.00.22-2250-205900.avi,33,41,508,20,473,15
Draconids-12mm2.00.15-2950-204300.avi,54,63,327,163,348,201
Draconids-12mm2.00.15-3050-204300.avi,20,27,149,249,155,277
Draconids-12mm2.00.15-1850-204300.avi,11,22,463,391,491,437
Draconids-12mm2.00.14-800-204000.avi,11,22,243,329,261,380
Draconids-12mm2.00.11-650-203300.avi,22,45,351,290,403,393
Draconids-12mm2.00.09-1250-202900.avi,52,60,128,327,133,157
Draconids-12mm2.00.08-3250-202700.avi,23,27,375,72,387,89
Draconids-12mm2.00.06-1400-202200.avi,31,36,503,67,525,89
Draconids-12mm2.00.05-2950-202100.avi,19,25,28,318,36,343
Draconids-12mm2.00.05-2900-202100.avi,8,14,213,450,225,477
Draconids-12mm2.00.05-1600-202100.avi,13,23,431,362,458,408
Draconids-12mm2.00.05-150-202000.avi,45,54,329,365,352,411
Draconids-12mm2.00.04-2550-201900.avi,25,37,264,427,285,476
Draconids-12mm2.00.04-1550-201900.avi,42,55,462,21,516,66
Draconids-12mm2.00.27-1750-210900.avi,17,33,364,230,345,311
Draconids-12mm2.00.28-1800-211100.avi,21,27,479,93,467,138
Draconids-12mm2.00.21-1250-205500.avi,20,27,222,174,228,207
Draconids-12mm2.00.09-1450-202900.avi,10,19,87,337,93,379
